"nom","type","courte_description","source","condition","avantage","normal","url"
"Science de la nage","[Général]","Le personnage nage plus vite que la normale.","Codex Aventureux","[[Degré de maîtrise de 6 en Natation]]","Le personnage peut nager à la moitié de sa vitesse de déplacement par une action de mouvement ou à la totalité de sa vitesse de déplacement par une action complexe.","Le personnage peut normalement nager à un quart de sa vitesse de déplacement par une action de mouvement ou à la moitié de sa vitesse de déplacement par une action complexe.","https://gemmaline.com/dons/dons-science-de-la-nage-381.htm"
"Science de la paralysie","[Monstrueux]","Le monstre paralyse plus facilement ses victimes.","Libris Mortis","[[Type Mort-vivant], [Attaque spéciale renforcée (paralysie)], [Pouvoir spécial de Paralysie]]","Le DD de sauvegarde des attaques naturelles de paralysie du monstre bénéficie d’un bonus de +4.","","https://gemmaline.com/dons/dons-science-de-la-paralysie-167.htm"
"Science de la pureté physique","[Général]","Même les maladies les plus virulentes n'ont aucun effet sur le personnage.","Player's Advantage : Monk","[[Con 15], [Endurance], [Aptitude de classe de Pureté physique]]","Le personnage est immunisé à toutes les maladies, y compris les magique et surnaturelles.","Pureté physique n'immunise pas contre les maladies qui sont d’origine magique ou surnaturelle (telles que la lycanthropie et la putréfaction transmise par les momies)","https://gemmaline.com/dons/dons-science-de-la-purete-physique-2384.htm"
"Science de la résistance à la magie","[Épique]","La résistance a la magie du personnage augmente.","Campagnes Légendaires","[[Résistance à la magie]]","La résistance à la magie du personnage augmente de +2.","","https://gemmaline.com/dons/dons-science-de-la-resistance-a-la-magie-2485.htm"
"Science de la résistance à la présence des dragons","[Général]","Le personnage fait montre d'un grand courage en présence de dragons.","DragonLance - Univers","[[Bonus de base à l’attaque de +6], [Résistance à la présence des dragons], [Doit avoir subi des dégâts dus à l’attaque d’un dragon au moins une fois.]]","Le personnage bénéficie d'un bonus de +8 aux jets de Volonté contre la présence terrifiante des dragons. Ce bonus remplace celui de Résistance à la présence des dragons.
","","https://gemmaline.com/dons/dons-science-de-la-resistance-a-la-presence-des-dragons-2062.htm"
"Science de la résistance au renvoi des morts-vivants","[Monstrueux]","Le monstre a de meilleures chances de résistance au renvoi des morts-vivants que la normale.","Libris Mortis","[[Type Mort-vivant]]","Le monstre est moins vulnérable aux tentatives de renvoi ou d’intimidation des prêtres et des paladins (cf. page 159 du Manuel des Joueurs). Face à une tentative de renvoi, d’intimidation, de contrôle ou d’augmentation du moral, il ajoute +4 à son niveau global (dés de vie de monstre et niveaux de classe) pour ce qui est de déterminer ses dés de vie effectifs. Par exemple, un nécrophage à 4 DV pourvu de ce don est considéré comme un mort-vivant à 8 DV face aux tentatives de renvoi, d’intimidation, de contrôle ou d’augmentation du moral, même s’il reste un monstre à 4 DV pour tout le reste. Un vampire disposant déjà d’une résistance au renvoi des morts-vivants (+4) bénéficie d’un bonus de +4 supplémentaire, pour une résistance totale de +8.","","https://gemmaline.com/dons/dons-science-de-la-resistance-au-renvoi-des-morts-vivan-168.htm"
"Science de la robustesse","[Général, Athlète]","Le personnage est beaucoup plus résistant que la normale.","Libris Mortis","[[Bonus de base de Vigueur de +2]]","Le personnage gagne un nombre de points de vie égal à ses dés de vie. Chaque fois qu’il gagne un nouveau dé de vie (en gagnant un niveau, par exemple), il gagne 1 point de vie supplémentaire. À l’inverse, s’il perd un dé de vie (en perdant un niveau, par exemple), il perd 1 point de vie permanent.","","https://gemmaline.com/dons/dons-science-de-la-robustesse-169.htm"
"Science de la technique favorite","[Épique]","Une technique astucieuse est la marque de fabrique du personnage.","Codex Heroïque","[[Aptitude de classe de Technique favorite]]","Choisissez une technique astucieuse pour laquelle le personnage dispose de Technique favorite. Cette technique astucieuse peut désormais être utilisé trois fois par rencontre.","","https://gemmaline.com/dons/dons-science-de-la-technique-favorite-2491.htm"
"Science de la toile","[Monstrueux]","Le personnage tire de nouveaux avantages de ses toiles.","Guide des Personnages Monstrueux","[[Faculté de créer une toile en guise de pouvoir surnaturel 2 fois par jour au moins]]","Ajoutez +2 au DD visant à s'échapper d'une toile du personnage ou à la déchirer. Le personnage peut entreprendre une action complexe pour attaquer à l'aide de sa toile. Dans ce cas, il a le droit d'attaquer une cible supplémentaire par point de bonus de Dextérité possédé. Aucune cible ne saurait se trouver à plus de 3 mètres d'une autre. Pour utiliser ce don, il faut sacrifier deux utilisations quotidiennes du pouvoir de toile.","","https://gemmaline.com/dons/dons-science-de-la-toile-689.htm"
"Science de la vision dans le noir","[Épique]","Le personnage voir encore mieux dans le noir complet.","Campagnes Légendaires","[[Vision dans le noir]]","Doublez la portée de la vision dans le noir du personnage. Ce don n'est pas cumulable avec la vision dans le noir conférée par des objets magiques ou des effets magiques temporaires.","","https://gemmaline.com/dons/dons-science-de-la-vision-dans-le-noir-2132.htm"
"Science de la vision nocturne","[Épique]","Le personnage voit encore mieux dans la pénombre.","Campagnes Légendaires","[[Vision nocturne]]","La portée de la vision nocturne du personnage est doublée. Ce don n'est pas cumulable avec la vision nocturne conférée par des objets magiques ou des effets magiques temporaires.","","https://gemmaline.com/dons/dons-science-de-la-vision-nocturne-2133.htm"
"Science des armes doubles","[Général, Guerrier]","Le personnage sait tirer le meilleur partie de ses armes doubles.","Codex Heroïque","[[Bonus de base à l’attaque de +4], [Arme en main]]","Lorsque le personnage manie à une main une arme double pour laquelle il est formé, il peut changer la tête avec laquelle il attaque durant le round au prix d'une action immédiate.","Sans ce don, un personnage maniant une arme double à une main doit choisir l’une des deux têtes et s’y tenir pour le round.","https://gemmaline.com/dons/dons-science-des-armes-doubles-2481.htm"
"Science des armes familières (elfe)","[Racial, Guerrier]","Aucune des armes spécifiques à sa race n'est totalement inconnue du personnage.","Races de la Pierre","[[Elfes], [Bonus de base à l’attaque de +1]]","Le personnage considère les armes exotiques associées à sa race comme des armes de guerre. Cela concerne toutes les armes dont le nom comprend celui de ta race en question.","Sans ce don, il faut prendre le don Maniement d'une arme exotique (ou posséder une aptitude raciale d'arme familière) pour utiliser une arme exotique sans malus.","https://gemmaline.com/dons/dons-science-des-armes-familieres--elfe--1988.htm"
"Science des armes familières (gnome)","[Racial, Guerrier]","Aucune des armes spécifiques à sa race n'est totalement inconnue du personnage.","Races de la Pierre","[[Gnomes], [Bonus de base à l’attaque de +1]]","Le personnage considère les armes exotiques associées à sa race comme des armes de guerre. Cela concerne toutes les armes dont le nom comprend celui de ta race en question.","Sans ce don, il faut prendre le don Maniement d'une arme exotique (ou posséder une aptitude raciale d'arme familière) pour utiliser une arme exotique sans malus.","https://gemmaline.com/dons/dons-science-des-armes-familieres--gnome--1989.htm"
"Science des armes familières (nain)","[Racial, Guerrier]","Aucune des armes spécifiques à sa race n'est totalement inconnue du personnage.","Races de la Pierre","[[Nains], [Bonus de base à l’attaque de +1]]","Le personnage considère les armes exotiques associées à sa race comme des armes de guerre. Cela concerne toutes les armes dont le nom comprend celui de ta race en question.","Sans ce don, il faut prendre le don Maniement d'une arme exotique (ou posséder une aptitude raciale d'arme familière) pour utiliser une arme exotique sans malus.","https://gemmaline.com/dons/dons-science-des-armes-familieres--nain--1812.htm"
"Science des armes familières (orque)","[Racial, Guerrier]","Aucune des armes spécifiques à sa race n'est totalement inconnue du personnage.","Races de la Pierre","[[Orques], [Bonus de base à l’attaque de +1]]","Le personnage considère les armes exotiques associées à sa race comme des armes de guerre. Cela concerne toutes les armes dont le nom comprend celui de ta race en question.","Sans ce don, il faut prendre le don Maniement d'une arme exotique (ou posséder une aptitude raciale d'arme familière) pour utiliser une arme exotique sans malus.","https://gemmaline.com/dons/dons-science-des-armes-familieres--orque--1990.htm"
"Science des attaques multiples","[Monstrueux]","Le dragon est habitué à utiliser toutes ses armes naturelles en même temps.","Draconomicon","[[Attaques multiples], [Au moins trois armes naturelles]]","Les attaques secondaires du dragon portées à l'aide d’armes naturelles ne subissent aucun malus. Toutefois, elles ne bénéficient que de la moitié du bonus de Force du monstre (le cas échéant) aux dégâts.","Sans ce don, les attaques secondaires naturelles du dragon subissent un malus de -5 (ou de -2 s’il possède déjà le don Attaques multiples).","https://gemmaline.com/dons/dons-science-des-attaques-multiples-2348.htm"
"Science des attaques multiples épique","[Monstrueux, Épique]","Le personnage sait utiliser toutes ses armes naturelles pour plus de dégâts","Codex Monstrueux","[[For 25], [Science des attaques multiples], [Attaques multiples], [Au moins trois armes naturelles]]","Les attaques secondaires bénéficient des 3/4 du bonus de Force du monstre","Une attaque secondaire ne bénéficie que de la moitié du bonus de Force du monstre","https://gemmaline.com/dons/dons-science-des-attaques-multiples-epique-2349.htm"
"Science des attaques réflèxes","[Épique]","Le personnage peut frapper tous les adversaires qui baissent la garde.","Campagnes Légendaires","[[Dex 21], [Attaques réflexes]]","Il n'y a plus de limite au nombre d'attaques d'opportunité que le personnage peut effectuer dans un même round. Par contre. il ne lui est pas possible de porter plus d'une attaque d'opportunité contre un même adversaire pendant un round.","","https://gemmaline.com/dons/dons-science-des-attaques-reflexes-1913.htm"
"Science des feux de rage de la nature","[Épique]","Les flammes du personnage sont particulièrement délétères face aux aberrations.","Codex Heroïque","[[Cha 19], [Sag 19], [Aptitude de classe de Feux de rage de la nature]]","Le pouvoir de Feux de rage de la nature du personnage inflige 1d6 dégâts supplémentaires.","","https://gemmaline.com/dons/dons-science-des-feux-de-rage-de-la-nature-2490.htm"
"Science des phéromones","[Racial]","Le personnage est capable d'utiliser plus subtilement ses phéromones","Rokugan Campaign Setting","[[Nezumis]]","Le personnage peut laisser un message complexe (jusqu'à 12 mots) qui peut être compris par tout nezumi à portée d'odeur.","","https://gemmaline.com/dons/dons-science-des-pheromones-2297.htm"
"Science du châtiment","[Général]","Les attaques de châtiment du personnage infligent plus de dégâts à certains adversaires, et peuvent blesser les créatures bénéficiant d’une réduction des dégâts ignorée par les armes alignées.","Codex Divin","[[Cha 13], [Pouvoir de Châtiment]]","Les attaques de châtiment du personnage sont considérées comme alignées pour ce qui est d’ignorer la réduction des dégâts et elles infligent +1d6 points de dégâts aux cibles d’un alignement déterminé. Si le pouvoir de châtiment est associé à un alignement, alors les dégâts supplémentaires s’appliquent aux créatures de cet alignement et l’attaque est considérée comme ayant l’alignement opposé à celui du châtiment. Par exemple, si un paladin possède ce don, son châtiment du Mal inflige des dégâts supplémentaires aux créatures d’alignement mauvais et son arme est considérée d’alignement bon. Par contre, le châtiment du Bien d’un chevalier noir inflige des dégâts supplémentaires aux créatures d’alignement bon et l’arme utilisée est considérée d’alignement mauvais.Si le pouvoir de châtiment n’est associé à aucun élément, le personnage doit choisir une composante d’alignement (Bien, Chaos, Loi, Mal) en même temps que le don. Ses attaques de châtiment sont considérées comme ayant cet alignement et les dégâts supplémentaires s’appliquent aux créatures de l’alignement opposé. Le personnage ne peut choisir une composante que si elle apparaît dans son propre alignement. Une fois que le choix est fait, il ne peut être changé. Si le personnage change plus tard d’alignement et que la composante choisie n’apparaît plus, il perd les avantages du don. Par exemple, un prêtre loyal neutre de Saint Cuthbert ayant accès au domaine de la Destruction et possédant ce don ne peut choisir que la Loi (ses châtiments sont considérés comme étant loyaux et ils infligent des dégâts supplémentaires aux créatures chaotiques).","","https://gemmaline.com/dons/dons-science-du-chatiment-320.htm"
"Science du combat à deux armes","[Général, Guerrier]","Le personnage est passé maitre dans l’art de combattre à deux armes.","Manuel du Joueur","[[Dex 17], [Bonus de base à l’attaque de +6], [Combat à deux armes]]","Lorsque le personnage combat avec deux armes, il peut porter deux attaques supplémentaires à l’aide de son arme secondaire au lieu d’une seule. Cependant, cette deuxième attaque secondaire subit un malus de –5 au jet d’attaque.","Sans ce don, l’arme secondaire ne permet de porter qu’une seule attaque supplémentaire par round.","https://gemmaline.com/dons/dons-science-du-combat-a-deux-armes-85.htm"
"Science du combat à mains nues","[Général, Guerrier, Athlète]","Le personnage est un expert du combat à mains nues.","Manuel du Joueur","[[]]","Le personnage est considéré comme armé même quand il n’a pas d’arme. Cela signifie que le fait d’attaquer à mains nues un adversaire armé ne provoque pas d’attaque d’opportunité. De plus, le personnage a droit à une attaque d’opportunité chaque fois qu’on l’attaque à mains nues.Enfin, les attaques à mains nues du personnage peuvent infliger des dégâts létaux ou non-létaux, à sa discrétion.","Sans ce don, un personnage se battant à mains nues est considéré comme étant désarmé et ne peut infliger que des dégâts non-létaux avec ce type d’attaque.","https://gemmaline.com/dons/dons-science-du-combat-a-mains-nues-86.htm"
"Science du combat en hauteur","[Général, Guerrier]","Le personnage est spécialement adepte du combat lorsqu'il surplombe ses adversaires","Codex Heroïque","[[]]","Lorsque le personnage attaque au corps-à-corps dans une position surélevée, il bénéficie d'un bonus de circonstance de +2 au jet d'attaque.","Attaquer en position surélevé avec une arme de corps-à-corps confère un bonus de circonstance de +1 au jet d'attaque.","https://gemmaline.com/dons/dons-science-du-combat-en-hauteur-2320.htm"
"Science du contresort","[Général]","Les nuances de la magie n’ont aucun secret pour le personnage pour contrer les sorts de ses adversaires.","Manuel du Joueur","[[]]","Lorsque le personnage tente de contrer un sort, il peut utiliser n’importe quel sort de la même école et d’au moins un niveau de sort supérieur à la place du sort d’origine.","Un lanceur de sorts qui ne possède pas ce don ne peut contrer un sort qu’en utilisant exactement le sort d’origine ou un sort indiquant spécifiquement qu’il peut être utilisé comme contresort.","https://gemmaline.com/dons/dons-science-du-contresort-87.htm"
"Science du coup bas","[Général, Guerrier]","Le personnage est particulièrement à l'aise dans l'utilisation du don Coup bas.","Races de Faerun","[[Bonus de base à l’attaque de +4], [Souplesse du serpent], [Esquive], [Coup bas]]","Les déplacements liés à l'utilisation du don Coup bas ne provoquent pas d'attaque d'opportunité.","Un personnage qui dispose du don Coup bas s'expose à une attaque d'opportunité lorsqu'il l'utilise.","https://gemmaline.com/dons/dons-science-du-coup-bas-795.htm"
"Science du coup de bouclier","[Général, Guerrier]","Le personnage sait donner des coups de bouclier tout en continuant à l’utiliser pour se défendre.","Manuel du Joueur","[[Formation au maniement des boucliers]]","Lorsque le personnage donne un coup de bouclier, il peut tout de même appliquer le bonus de bouclier de celui-ci à sa classe d’armure.","Sans ce don, un personnage qui donne un coup de bouclier perd le bonus de bouclier à la CA du bouclier jusqu’à son prochain tour de jeu.","https://gemmaline.com/dons/dons-science-du-coup-de-bouclier-88.htm"
"Science du coup étourdissant","[Épique]","Les coups étourdissants du personnage sont plus percutants que la normale.","Wizards of the Coast Web EnhancementsCampagnes Légendaires","[[Sag 19], [Dex 19], [Coup étourdissant], [Science du combat à mains nues]]","Ajoutez +2 au DD des coups étourdissants du personnage.
","Il est possible de choisir ce don plusieurs fois, auquel cas ses effets sont cumulatifs.
","https://gemmaline.com/dons/dons-science-du-coup-etourdissant-1912.htm"
"Science du crachat","[Monstrueux]","Le personnage crache plus loin que la normale.","Royaumes Serpents","[[Tir de précision], [Crachat de venin], [Attaque de crachat]]","La portée de l'attaque de crachat du personnage est doublée.","","https://gemmaline.com/dons/dons-science-du-crachat-1531.htm"
"Science du critique","[Général, Guerrier]","Le personnage choisit une arme dont il se servira avec une efficacité décuplée.","Manuel du Joueur","[[Bonus de base à l’attaque de +8], [Maniement de l’arme choisie]]","La zone de critique possible de l’arme choisie est doublée. Par exemple, une épée longue peut normalement obtenir une possibilité de coup critique sur un résultat de 19–20 au dé (2 nombres). Avec ce don, la zone de critique possible de cette arme passe à 17–20 (4 nombres).","","https://gemmaline.com/dons/dons-science-du-critique-89.htm"
"Science du croc-en-jambe","[Général, Guerrier]","Le personnage a été formé à faire trébucher ses adversaires.","Manuel du Joueur","[[Int 13], [Expertise du combat]]","Le personnage ne provoque pas d’attaque d’opportunité lorsqu’il tente de faire un croc-en-jambe à mains nues. De plus, il bénéficie d’un bonus de +4 sur le test de Force visant à faire tomber son adversaire.Si le personnage parvient à faire un croc-en-jambe au corps à corps, il peut automatiquement porter une attaque à son adversaire, comme s’il n’avait pas utilisé son attaque pour tenter le croc-en-jambe.","Sans ce don, tenter un croc-en-jambe à mains nues provoque une attaque d’opportunité.","https://gemmaline.com/dons/dons-science-du-croc-en-jambe-90.htm"
"Science du déguisement","[Général]","Le personnage peut aisément se faire passer pour un membre d'une autre race et même d'un autre sexe.","Dragon Magazine #335","[[Degré de maîtrise de 5 en Psychologie], [Degré de maîtrise de 7 en Déguisement], [Cha 13]]","Le personnage ne souffre d'aucun malus à ses jets de Déguisement quand il se déguise en une personne d'une autre race, sexe ou catégorie d'âge.
De plus, il met deux fois moins de temps que normal à se déguiser.","Se déguiser en une créature d'un autre sexe, race ou catégorie d'âge impose un malus aux jets de Déguisement.","https://gemmaline.com/dons/dons-science-du-deguisement-1435.htm"
"Science du désarmement","[Général, Guerrier, Kiho]","Le personnage sait comment désarmer ses adversaires.","Manuel du Joueur","[[Int 13], [Expertise du combat]]","Le personnage ne provoque pas d’attaque d’opportunité quand il tente de désarmer son ennemi, et ce dernier n’a aucune chance de le désarmer en retour. Le personnage bénéficie de plus d’un bonus de +4 sur le jet d’attaque opposé visant à désarmer son adversaire.","Voir les règles permettant de désarmer son adversaire.","https://gemmaline.com/dons/dons-science-du-desarmement-91.htm"
"Science du feu nourri","[Épique]","Le personnage peut tirer encore plus de flèches sur une cible proche au cours d'une seule et même attaque.","Campagnes Légendaires","[[Dex 19], [Bonus de base à l’attaque de +21], [Tir rapide], [Tir à bout portant], [Feu nourri]]","Semblable à Feu nourri, mais le nombre de flèches que tire le personnage n'est limite que par son bonus de base à l'attaque : deux flèches, plus une par tranche de 5 points au-dessus de +6 au bonus de base à l'attaque.
","Avec le don Feu nourri, le personnage est limité à un maximum de quatre flèches (dès lors que son bonus de base à l'attaque atteint ou dépasse +16).","https://gemmaline.com/dons/dons-science-du-feu-nourri-1914.htm"
"Science du métapsionique","[Psionique, Épique]","Le personnage peut manifester ses facultés en y appliquant des dons métapsioniques avec plus de facilité que la normale.","Grand Manuel des Psioniques","[[Degré de maîtrise de 30 en Art psi], [Quatre dons de Métapsionique au choix]]","Les facultés métapsioniques manifestées par le personnage lui demandent une dépense inférieure à la normale de 2 points psi (minimum de 1 point). Il lui est possible, par exemple, manifester une faculté instantanée en ne dépensant 4 points psi de plus au lieu de 6.
Ce don est sans effet sur les dons métapsioniques qui n'augmentent la dépense que de 2 points psi.
","","https://gemmaline.com/dons/dons-science-du-metapsionique-1634.htm"
"Science du modelage de sorts","[Incarnum]","Le personnage maîtrise la technique de l'émulation de sorts par l'incarnum","Codex Heroïque","[[Degré de maîtrise de 8 en Art de la magie], [Int 13], [Con 13], [Modelage de sorts]]","Une fois par jour, le personnage peut investir de l'essentia dans ce don.
Le personnage gagne la possibilité de préparer des sorts comme un magicien. Il gagne un nombre d'emplacement de sort de niveau 2 égal au nombre de point d'essentia investi dans ce don.
Si au moins 2 points d'essentia sont investis dans ce don, alors il gagne aussi un nombre d'emplacement de sorts de niveau 3 égal à au nombre de point d'essentia investi dans ce don - 1. De plus, il gagne un nombre d'emplacement de sort de niveau 0 supplémentaire  égal à au nombre de point d'essentia investi dans ce don - 1.
Si au moins 3 points d'essentia sont investis dans ce don, le personnage gagne un nombre d'emplacement de sort de niveau 1 supplémentaire  égal à au nombre de point d'essentia investi dans ce don - 2.
Le personnage ne peut ainsi préparer ainsi que des sorts issus de la liste de sort du magicien. Son niveau de sort effectif est égal à son niveau de classe et le DD des sorts est lié à l'Intelligence.
Il est impossible d'investir plus de points d'essentia dans ce don que dans Modelage de sorts.
Le personnage gagne 1 point d'essentia. ","","https://gemmaline.com/dons/dons-science-du-modelage-de-sorts-2023.htm"
"Science du persistance du commandement","[Général]","Les alliés du personnage gardent longtemps en tête ses harangues","Codex Heroïque","[[Cha 17], [Persistance du commandement], [Aptitude de classe de Auras de commandeur]]","Lorsque le personnage change d'aura, cette dernière persiste pendant un nombre de rounds égal à au bonus de Charisme du personnage.
Le personnage ne peut avoir qu'une aura de chaque type (mineur ou majeur) à la fois. Si le personnage change une aura alors qu'il en a déjà une persistance de ce type, celle-ci prend fin immédiatement.","","https://gemmaline.com/dons/dons-science-du-persistance-du-commandement-2262.htm"
"Science du poing d’énergie","[Général]","Le personnage est plus versatile avec son poing d'énergie","Codex Heroïque","[[Sag 13], [Coup étourdissant], [Science du combat à mains nues], [Aptitude de classe de Poing d’énergie]]","Le personnage peut utiliser son aptitude de poing d’énergie pour infliger des dégâts de froid ou de son.","Poing d’énergie ne permet d'infliger que des dégâts de feu ou d'électricité.","https://gemmaline.com/dons/dons-science-du-poing-d-energie-2429.htm"
"Science du pouvoir ki","[Épique]","Le personnage possède une telle maîtrise de son ki que es pouvoirs durent plus longtemps.","Codex Epique","[[Sag 21], [Aptitude de classe de Pouvoirs ki]]","La durée des pouvoirs des pouvoirs ki de Éclipse spectrale et de Esquive ki du personnage augmente de 1 round.","","https://gemmaline.com/dons/dons-science-du-pouvoir-ki-1923.htm"
"Science du rayon dromite","[Racial]","Le rayon dromite du personnage est plus puissant","Codex Heroïque","[[Dromite], [Rayon dromite], [6 dés de vie ou plus]]","Le dromite peut utiliser deux utilisations quotidiennes de son pouvoir racial de Rayon d'énergie pour le manifester avec un niveau de manifestation égal à ses DV.","Le niveau de manifestation est égal à la moitié des DV du personnage (minimum de 1).","https://gemmaline.com/dons/dons-science-du-rayon-dromite-2388.htm"
"Science du renforcement de la corruption","[Général]","Les sorts de corruption du personnage sont encore plus puissants qu'avant","Heroes of Horror","[[Renforcement de la corruption], [Alignement non-bon]]","Le DD des sorts ayant une composante de corruption lancés par le personnage augmente de +1. Cet effet est cumulatif avec le don Renforcement de la corruption, pour un total de +2.","","https://gemmaline.com/dons/dons-science-du-renforcement-de-la-corruption-1547.htm"
"Science du renversement","[Général, Guerrier, Kiho]","Le personnage est doué pour renverses ses adversaires","Manuel du Joueur","[[For 13], [Attaque en puissance]]","Lorsque le personnage tente un renversement, sa cible ne peut choisir de l’éviter. Le personnage bénéficie de plus d’un bonus de +4 sur le test de Force opposé effectué pour envoyer sa cible à terre.","Sans ce don, la cible d’un renversement peut choisir d’éviter ou de bloquer son agresseur.","https://gemmaline.com/dons/dons-science-du-renversement-92.htm"
"Science du renvoi","[Divin]","Les renvois du personnage sont particulièrement efficaces.","Manuel du Joueur","[[Aptitude de renvoi ou d’intimidation de créatures]]","Le personnage peut utiliser son pouvoir de renvoi ou d’intimidation avec un bonus de +1 au niveau de la classe qui lui offre cette aptitude.","","https://gemmaline.com/dons/dons-science-du-renvoi-93.htm"
"Science du renvoi épique","[Divin, Épique]","Les renvois du personnage sont extrêmement efficaces.","Codex Epique","[[Sag 25], [Science du renvoi], [Aptitude de renvoi ou d’intimidation de créatures]]","Le personnage peut utiliser son pouvoir de renvoi ou d’intimidation avec un bonus de +4 au niveau de la classe qui lui offre cette aptitude. Ce bonus remplace celui de Sscience du renvoi","","https://gemmaline.com/dons/dons-science-du-renvoi-epique-2230.htm"
"Science du sceau","[Pacte]","Le personnage est si doué dans l'art de sceller les vestiges qu'il peut contacter aisément les plus puissants d'entre eux.","Recueil de Magie","[[Degré de maîtrise de 4 en Intimidation], [Aptitude de classe de Sceau de l’âme]]","Le niveau effectif de scelleur du personnage est de deux rangs supérieur à la normale quand on détermine le niveau des vestiges qu'il peut convoquer. Cet avantage n'accroît son niveau de scelleur dans aucune autre circonstance.","","https://gemmaline.com/dons/dons-science-du-sceau-816.htm"
"Science du serviteur fiélon","[Général]","Le personnage gagne un puissant serviteur fiélon","Champions of Ruin","[[Aptitude de classe de Serviteur fiélon]]","Le personnage ajoute cette liste de créature à sa liste de créature pouvant être serviteur fiélon : blaireau sanguinaire, chauve-souris sanguinaire, destrier lourd, crocodile, léopard, lézard carnivore, ours noir, sanglier, serpent constricteur, serpent venimeux de taille G, singe. De plus, le serviteur fiélon du personnage acquiert l'archétype fiélon.
Le serviteur fiélon observe toutes les autres règle s normalement pour un serviteur fiélon.","","https://gemmaline.com/dons/dons-science-du-serviteur-fielon-1794.htm"
"Science du sigil (Aesh)","[Racial]","Le personnage utilise al puissance de son sigil pour augmenter la précision de ses armes favorites","Races of Destiny","[[Illumien], [Accès au sigil Aesh]]","Le personnage gagne un bonus d'intuition à ses jets de dégâts avec toutes les armes avec lesquels il possède le don Arme de prédilection. Le bonus est égal au nombre de sigil de pouvoir que le personnage possède.","","https://gemmaline.com/dons/dons-science-du-sigil--aesh--1860.htm"
"Science du sigil (Hoon)","[Racial]","Le personnage utilise la puissance de son sigil pour l'aider à survivre aux situations mortelles.","Races of Destiny","[[Illumien], [Accès au sigil Hoon]]","Le personnage gagne un bonus d'intuition à ses jets de sauvegarde contre les effets de mort, à ses jets contre la mort par dégâts massif aux aux jets de sauvegarde pour éviter les dégâts non-létaux des effets des environnements chauds et froid et pour résister à la suffocation. le bonus est égal au nombre de sigil de pouvoir que possède le personnage.","","https://gemmaline.com/dons/dons-science-du-sigil--hoon--1861.htm"
"Science du sigil (Krau)","[Racial]","le personnage utilise al puissance de son sigil pour augmenter ses sorts verbaux.","Races of Destiny","[[Illumien], [Accès au sigil Krau]]","Le personne choisi un nombre de sort ayant une composante verbale égal à son nombre de sigil de pouvoir. Le personnage lance ces sorts comme si leur niveau effectif était supérieur de 1, comme s'ils étaient augmentés par le don Augmentation d'intensité.
Lorsque le personnage gagne le pouvoir de lancer de nouveaux niveaux de sorts ou s'il gagne un nouveau sigil de pouvoir, il peut réassigner les sorts affectés par ce don.
Si le sort est affecté par Incantation silencieuse, ce don ne l'affecte pas.","","https://gemmaline.com/dons/dons-science-du-sigil--krau--1862.htm"
"Science du sigil (Naen)","[Racial]","Le personnage utilise la puissance de son sigil pour résister aux effets des illusions et des effets de langage.","Races of Destiny","[[Illumien], [Accès au sigil Naen]]","Le sigil Naen du personnage lui confère un bonus d'intuition à ses jets de sauvegarde contre les illusions et les effets de langage égal à son nombre de sigil de pouvoir.","","https://gemmaline.com/dons/dons-science-du-sigil--naen--1863.htm"
"Science du sigil (Uur)","[Racial]","Le personnage utilise la puissance de son sigil pour augmenter la précision de ses attaques à distance.","Races of Destiny","[[Illumien], [Accès au sigil Uur]]","Le personnage gagne un bonus d'intuition à ses jets de dégâts avec les armes à distance lorsque sa cible a perdu son bonus de Dextérité. Le bonus est égal au nombre de sigil de pouvoir que le personnage possède. ","","https://gemmaline.com/dons/dons-science-du-sigil--uur--1864.htm"
"Science du sigil (Vaul)","[Racial]","Le personnage peut utiliser la puissance de son sigil pour résister aux effets mentaux.","Races of Destiny","[[Illumien], [Accès au sigil Vaul]]","Le sigil vaul du personnage lui confère un bonus d'intuition à ses jets de sauvegarde contre les effets mentaux égal à son nombre de sigil de pouvoir.","","https://gemmaline.com/dons/dons-science-du-sigil--vaul--1865.htm"
"Science du tir de précision","[Général, Guerrier]","Les attaques à distance du personnage ignorent les effets des abris ou de camouflage.","Manuel du Joueur","[[Dex 19], [Bonus de base à l’attaque de +11], [Tir de précision], [Tir à bout portant]]","Les attaques à distance du personnage ignorent le bonus à la classe d’armure dont bénéficient les créatures derrière un abri autre que total, ainsi que la chance d’échec lié à un camouflage autre que total. Un abri total ou un camouflage total conservent leurs effets habituels.De plus, quand le personnage tire ou lance une arme à distance sur un adversaire agrippé en situation de lutte, il frappe automatiquement l’adversaire visé.","Voir les règles concernant les abris et le camouflage. Sans ce don, un personnage qui tire ou lance une arme à distance sur un adversaire agrippé en situation de lutte, il doit déterminer aléatoirement lequel des combattants agrippés est effectivement atteint.","https://gemmaline.com/dons/dons-science-du-tir-de-precision-94.htm"
